kategoria,produkt,opinia
Odzież,Botki,"Buty prezentują się dobrze, ale mają swoje wady. Materiał jest średniej jakości, a wyściółka zbyt cienka, przez co nogi szybko marzną. Sprawdzą się w cieplejsze dni, ale na zimę trzeba szukać czegoś solidniejszego."
Sport,Rowerek do ćwiczeń,"Spełnia wszystkie moje oczekiwania, idealny na co dzień."
Zegarki i biżuteria,Zegarek,"Zegarek wygląda dobrze, ale niektóre funkcje działają nieprecyzyjnie."
Sport,Rakieta do Squasha,"Produkt jest bardzo dobrze wykonany i spełnia swoje zadanie. Lekka rama sprawia, że gra nią to przyjemność, a uderzenia są precyzyjne. Polecam ją każdemu, kto szuka dobrego sprzętu w przystępnej cenie."
RTV,telewizor,Polecam każdemu! 
Odzież,Botki,"Wyglądają dobrze, ale są niewygodne do dłuższego noszenia."
RTV,słuchawki,"Brzmienie jest czyste, ale bas jest zbyt mocno podbity."
telefony,Sony Ericsson K750i ,"Sprzęt w porządku na początek, ale szybko się psuje, zwłaszcza przy intensywnym użytkowaniu. "
AGD,lodówka,"Wygląda dobrze, ale funkcjonalność jest słaba. "
Zegarki i biżuteria,Naszyjnik,"Piękny, subtelny i pasuje do wszystkiego. Noszę go codziennie i każdy mnie pyta gdzie go kupiłam. Jest dokładnie tym czego potrzebowałam."
Sport,Białko WPC 137,"To najlepsze białko, jakie miałem okazję spróbować. Smak jest rewelacyjny, szczególnie malina-banan, a konsystencja idealna po rozpuszczeniu. Nie powoduje żadnych problemów trawiennych, co dla mnie jest dużym plusem. Polecam każdemu!"
Odzież,Botki,"Stylowe, wygodne i solidne – spełniają wszystkie moje oczekiwania."
Zegarki i biżuteria,Bransoletka,"Bransoletka jest trwała, a kamienie błyszczą i wyglądają pięknie."
Odzież,Torebka,"Wygląd torebki jest w porządku, ale jakość wykonania jest bardzo słaba. Ramiączka są nietrwałe, a materiał łatwo się przeciera. To zdecydowanie nie jest produkt wart swojej ceny. "
Zegarki i biżuteria,Zegarek,"Produkt nie spełnił moich oczekiwań, szybko się rozregulował i nie nadaje się do użytku."
telefony,Samsung B2710 SOLID ,"Telefon jest bardzo wytrzymały, co jest jego największą zaletą. Bateria trzyma długo, a obudowa wytrzymuje upadki i inne uszkodzenia. Niestety, oprogramowanie jest przestarzałe, a pamięć zbyt mała, by pomieścić cokolwiek poza podstawowymi aplikacjami."
Sport,Rakieta do Squasha,"Produkt jest przyzwoity, ale nie wyróżnia się na tle konkurencji. Lekka rama i wygodna rączka to zalety, ale precyzja uderzeń jest raczej przeciętna. Nadaje się do gry rekreacyjnej, ale nie do bardziej intensywnych meczów. "
Sport,Białko WPC 85,Bardzo smaczny- wybrałam malina banan. Słodki ale robi wrażenie 
AGD,lodówka,Nie polecam. 
AGD,lodówka,"Urządzenie miało być ciche i energooszczędne, a jest zupełnie na odwrót. Hałasuje jak stary traktor i zużywa więcej prądu, niż się spodziewałem. Po kilku miesiącach zaczęły się problemy z temperaturą, przez co jedzenie się psuje. "
Zegarki i biżuteria,Naszyjnik,"Materiał jest w miarę OK, ale łatwo ulega zarysowaniom i odkształceniom."
RTV,GPS,"GPS ma potencjał, ale niestety został zmarnowany. Sygnał często się gubi, szczególnie w mieście, a bateria wytrzymuje zaledwie kilka minut. Mapy są przestarzałe, a aktualizacja jest trudna i kosztowna."
Sport,Rowerek do ćwiczeń,"Konstrukcja jest lekka, ale przez to trochę niestabilna."
Zegarki i biżuteria,Bransoletka,"Bransoletka jest rewelacyjna, piękny design i świetna jakość wykonania."
Odzież,Koszulka,"Jest w porządku, ale krój mógłby być bardziej dopracowany."
Sport,Białko WPC 129,"Białko jest bardzo dobre, zarówno pod względem smaku, jak i konsystencji. Bardzo łatwo się rozpuszcza, a smaki są intensywne, ale nie przesadzone. Działa świetnie jako uzupełnienie diety sportowej. "
RTV,GPS,OK na krótkie trasy. 
telefony,Samsung B2710 SOLID ,"Telefon może wygląda solidnie, ale to tylko pozory. Problemy z oprogramowaniem, ciągłe zawieszanie się i bardzo słaba bateria sprawiają, że korzystanie z niego to koszmar. Nie nadaje się do codziennego użytku."
RTV,słuchawki,Idealne do każdego rodzaju muzyki. Produkt warty swojej ceny!
AGD,lodówka,"Najlepsza lodówka, jaką miałem, działa perfekcyjnie. "
AGD,odkurzacz,"Ma dobrą moc i jest prosty w obsłudze, świetny wybór w tej cenie. "
Zegarki i biżuteria,Bransoletka,"Design bransoletki jest bardzo ładny, ale jakość materiałów pozostawia wiele do życzenia. Kamienie są delikatne i łatwo odpadają, a zapięcie jest trudne w obsłudze. Produkt spełnia swoje zadanie wizualnie, ale praktyczność jest bardzo ograniczona."
Odzież,Botki,OK na krótkie wyjścia. 
AGD,lodówka,Zbyt mała pojemność w stosunku do podanej specyfikacji. 
Sport,Białko WPC 110,"Smak jest znośny, ale konsystencja mogłaby być bardziej gładka."
Zegarki i biżuteria,Naszyjnik,"Design naszyjnika jest piękny, ale niestety zapięcie sprawia problemy i często trzeba je poprawiać, co bywa irytujące. Kamienie wyglądają dobrze, ale po kilku użyciach zauważyłam drobne odpryski, które psują jego estetykę. Ogólnie jest to produkt przyzwoity, ale lepiej sprawdzi się jako ozdoba na wyjątkowe okazje niż do codziennego użytkowania."
RTV,telewizor,Po dwóch tygodniach użytkowania jest ok. 
Odzież,Botki,"Buty są w porządku, ale podszewka mogłaby być lepszej jakości."
Sport,Rakieta do Squasha,Rakieta świetnie sprawdza się w każdych warunkach – lekka i wytrzymała. 
RTV,słuchawki,"Kupiłem te słuchawki z nadzieją na wysoką jakość dźwięku, ale to był błąd. Dźwięk jest płaski, a przewód już po dwóch tygodniach zaczął się przecierać. Produkt zdecydowanie nie jest wart swojej ceny."
RTV,słuchawki,"Dźwięk jest przyzwoity, ale brakuje głębi."
Zegarki i biżuteria,Zegarek,"Produkt działa bez zarzutu, wygląda świetnie i jest bardzo funkcjonalny."
telefony,Sony Ericsson K750i ,"Wyświetlacz jest mały i nieczytelny, a przyciski bardzo niewygodne."
AGD,odkurzacz,"Polecam, szczególnie jeśli ktoś szuka kompaktowego urządzenia. "
AGD,lodówka,"Świetny sprzęt! Posiada dużą pojemność, idealną dla większej rodziny. Bardzo dobrze chłodzi i mrozi, a funkcja szybkiego chłodzenia naprawdę działa. Jedynym minusem może być brak dodatkowych półek na butelki."
RTV,słuchawki,"Dźwięk jak dla mnie bardzo ""płaski"" i strasznie syczący (talerze pchają się na pierwszy plan). W porównaniu do niektórych tańszych słuchawek wygląda to kiepsko (E10 - mój faworyt). Kabel - mi nie przeszkadza - mam nadzieje że wytrzyma dłużej niż u innych. "
telefony,Sony Ericsson K750i ,"To świetny sprzęt dla osób, które potrzebują prostego i solidnego telefonu."
Sport,Rakieta do Squasha,"Produkt rewelacyjny, gra się nią wyjątkowo komfortowo."
RTV,telewizor,"Jakość plastiku jest niska, ale obraz jest przyzwoity."
telefony,Sony Ericsson K750i ,"Telefon ma kilka zalet, ale niestety nie spełnia moich oczekiwań. Wyświetlacz jest zbyt mały, a dżojstik szybko zaczyna szwankować. Jakość wykonania jest średnia, a słuchawki są kompletnie nieprzydatne."
Zegarki i biżuteria,Zegarek,"Doskonały zegarek, czytelny, funkcjonalny, prosty w obsłudze. G-Shock to nie jest, ale nie po to został zakupiony, by obijać go o ściany :)"
Zegarki i biżuteria,Naszyjnik,"To produkt odpowiedni na wyjątkowe okazje, ale zbyt delikatny do codziennego noszenia. "
Zegarki i biżuteria,Naszyjnik,"Po kilku dniach użytkowania z naszyjnika zaczęły odpadać elementy, zdecydowanie nie polecam. "
Sport,Rowerek do ćwiczeń,"Rowerek jest łatwy w montażu, wygodny w użyciu i bardzo stabilny. "
AGD,żelazko,"Żelazko działa dobrze, ale brakuje mi w nim kilku funkcji, które widziałem w innych modelach w podobnej cenie. Ogólnie jednak nie mam większych zastrzeżeń. "
AGD,odkurzacz,"Działa perfekcyjnie, siła ssania jest imponująca. "
Odzież,Botki,Rewelacyjne buty! 
telefony,Sony Ericsson K750i ,"Nie polecam tego modelu, ciągle się zawiesza, a dźwięk jest tragiczny."
Zegarki i biżuteria,Naszyjnik,"Z początku wydawał się idealny, lecz gdy wyszłam w nim z domu na przyjęcie mojej koleżanki, po godzinie sam się odpiął i wypadły z niego wszystkie koraliki, poprosiłam o wymianę jego na dokładnie ten sam. W zupełnie nowym naszyjniku wyszłam na zakupy, gdzie sytuacja się powtórzyła. Na wystawie prezentuje się dobrze, ale wykonanie to istna tragedia. Kompletnie nie adekwatny do ceny, jego jakość jest okropna. Nie kupię już nic od tej firmy!"
Sport,Rowerek do ćwiczeń,"To najlepszy rowerek, jaki miałem okazję kupić. Jest solidnie wykonany, stabilny i bardzo cichy. Siodełko jest wygodne, a komputerek działa perfekcyjnie. Idealny do codziennego użytku i lekkich treningów w domowym zaciszu. "
Sport,Białko WPC 92,"Białko jest trudne do rozpuszczenia, a smak jest tylko trochę lepszy od chemicznego."
Sport,Rowerek do ćwiczeń,"Produkt wygląda dobrze, ale funkcjonalność pozostawia wiele do życzenia."
Zegarki i biżuteria,Naszyjnik,"Naszyjnik prezentuje się dobrze tylko na pierwszy rzut oka. Po kilku założeniach zaczęły odpadać drobne elementy, a zapięcie przestało działać. Jakość wykonania jest fatalna, zdecydowanie nie polecam zakupu tego produktu."
RTV,telewizor,"Wygląda ładnie, ale funkcje to totalna katastrofa."
Odzież,Botki,"Jestem zachwycona, botki są piękne i bardzo trwałe."
AGD,żelazko,"Żelazko godne polecenia, bardzo dobra cena, a długi 3-metrowy kabel jest dodatkowym atutem. Odpowiedni ciężar ułatwia prasowanie. Mocny wyrzut pary. Bardzo ładny design. Po sprawdzeniu jednego kupiłam drugie na prezent. Naprawdę gorąco polecam!"
Sport,Rowerek do ćwiczeń,"Rowerek działa dobrze, ale nie jest sprzętem premium. Siodełko jest twarde, a pasek oporowy wymaga delikatnego traktowania. Nadaje się dla osób szukających prostego i taniego sprzętu do domowych treningów."
Zegarki i biżuteria,Zegarek,"Zegarek ma wiele funkcji, ale większość z nich działa bardzo niedokładnie. Termometr wymaga zdejmowania zegarka na dłuższy czas, a kompas jest mało precyzyjny. Mechanizm wymaga częstego ustawiania, co jest dość uciążliwe."
AGD,odkurzacz,Po kilku użyciach rura odkurzacza pękła. Zawiodłem się. 
Odzież,Botki,"To solidne buty, ale raczej na krótkie spacery niż dłuższe wyjścia. Materiał wygląda dobrze, ale nie jest wystarczająco trwały na codzienne noszenie. Podszewka również mogłaby być lepsza."
Zegarki i biżuteria,Bransoletka,Totalne rozczarowanie! 
Sport,Rowerek do ćwiczeń,"Rowerek to świetny wybór dla osób szukających prostego sprzętu do domowych treningów. Jest bardzo łatwy w montażu, a instrukcja jest przejrzysta. Siodełko wymaga trochę przyzwyczajenia, ale ogólnie sprzęt spełnia swoje zadanie i jest bardzo praktyczny."
RTV,GPS,"To urządzenie, które naprawdę robi wrażenie. Nawigacja działa płynnie, szybko reaguje na zmiany trasy, a mapa jest bardzo precyzyjna. Wyświetlacz jest duży i czytelny, co sprawia, że korzystanie z GPS-a to czysta przyjemność. "
Zegarki i biżuteria,Naszyjnik,"Produkt jest rewelacyjny, wygląda pięknie i jest bardzo trwały. Kamienie są dobrze osadzone i nie tracą blasku, a zapięcie działa bez zarzutu. Naszyjnik świetnie sprawdza się zarówno na co dzień, jak i na bardziej formalne okazje."
Sport,Rakieta do Squasha,"Jakość jest przeciętna, ale za tę cenę trudno oczekiwać czegoś więcej."
telefony,Samsung B2710 SOLID ,"Działa świetnie, a jego wytrzymałość robi wrażenie. "
RTV,telewizor,"Świetny sprzęt, kolory są żywe, a dźwięk krystalicznie czysty."
Zegarki i biżuteria,Zegarek,"To zegarek o średniej jakości, który działa poprawnie, ale ma kilka wad. Termometr i kompas są niedokładne, a bransoleta wydaje się podatna na uszkodzenia. Ogólnie jest w porządku, ale brak mu precyzji w funkcjach dodatkowych. "
telefony,Sony Ericsson K750i ,"Działa bez problemów, a jego wytrzymałość jest dużym atutem. "
telefony,Samsung B2710 SOLID ,"Bateria trzyma długo, a obudowa wytrzymuje upadki i inne uszkodzenia."
Sport,Rakieta do Squasha,"To bardzo dobra rakieta, która świetnie sprawdza się w grze. Jest lekka, dobrze leży w dłoni i pozwala na precyzyjne uderzenia. Owijka mogłaby być trochę lepsza, ale ogólnie jestem bardzo zadowolony z zakupu. "
AGD,odkurzacz,"Sprzęt odpowiedni do małych mieszkań, gdzie nie ma zbyt dużych zabrudzeń. Jest stosunkowo cichy i łatwy w obsłudze, ale nie radzi sobie z dywanami. "
Odzież,Koszulka,"Koszulka dobrze wygląda i jest bardzo wygodna, idealna na lato. "
RTV,telewizor,"Urządzenie ma bardzo ograniczone funkcje, a jakość obrazu jest przeciętna. Nie radzi sobie z dynamicznymi scenami, co jest bardzo irytujące podczas oglądania filmów akcji. Nie wart swojej ceny."
Zegarki i biżuteria,Bransoletka,"Design bransoletki jest elegancki, ale jakość wykonania mogłaby być lepsza. Kamienie wyglądają ładnie, ale szybko tracą blask. Produkt spełnia swoje zadanie wizualnie, ale praktyczność jest dość ograniczona."
Odzież,Botki,"Wyglądają dobrze tylko na zdjęciach. Po kilku dniach noszenia zaczęły się niszczyć, a podszewka wystaje na zewnątrz, co wygląda bardzo nieestetycznie. To buty, które można nosić tylko sporadycznie. "
Odzież,Koszulka,"Materiał jest w porządku, ale po praniu koszulka traci swój fason."
RTV,GPS,"Dobry wybór, szczególnie dla osób szukających prostego i niezawodnego GPS-a. "
Sport,Rakieta do Squasha,Świetny wybór dla średnio zaawansowanych graczy. 
Odzież,Koszulka,"Krój jest w miarę OK, ale materiał jest zbyt delikatny i nie wytrzymuje prania. "
Zegarki i biżuteria,Bransoletka,"Oczekiwałam lepszej jakości – bransoletka wyglądała pięknie na zdjęciach, ale w rzeczywistości jest nietrwała. "
RTV,telewizor,Jest OK.
Sport,Rakieta do Squasha,"Rakieta wygląda dobrze i ma przyjemny design, ale jakość materiałów pozostawia trochę do życzenia. Po kilku grach zauważyłem, że owijka wymaga wymiany, a wyważenie nie sprzyja precyzyjnym uderzeniom."
Zegarki i biżuteria,Naszyjnik,"Jest śliczny, niestety zahacza się o ubrania, co przeszkadza w codziennym użytkowaniu."
Odzież,Koszulka,"Jest w porządku, ale po kilku praniach widać zużycie materiału."
RTV,słuchawki,"Wygodne w użyciu, dźwięk jest wyraźny, a bas przyjemnie podbity. "
Odzież,Koszulka,"Koszulka jest wykonana z bardzo kiepskiego materiału, który szybko się rozciąga."
telefony,Sony Ericsson K750i ,"Wyświetlacz jest słaby, a jakość wykonania pozostawia wiele do życzenia."
Zegarki i biżuteria,Bransoletka,"To wyjątkowa bransoletka, która spełniła wszystkie moje oczekiwania. Jest pięknie wykonana, bardzo trwała i wygodna w noszeniu. Kamienie wyglądają niezwykle elegancko, a całość świetnie nadaje się zarówno na co dzień, jak i na specjalne okazje. "
Sport,Białko WPC 84,Ładnie zapakowane i dobre w smaku
RTV,GPS,"Działa poprawnie, ale czasami wolno reaguje na zmiany trasy."
RTV,telewizor,To świetny telewizor dla rodzin – prosta obsługa i dobra jakość obrazu.
Sport,Białko WPC 103,"Nie jest najgorsze, ale smak jest trochę sztuczny."
Odzież,Botki,Ładne i wygodne! 
Odzież,Botki,"Buty są lekkie i bardzo wygodne, idealne na co dzień."
RTV,słuchawki,"Dźwięk jest niezły, ale przewód już zaczyna się przecierać."
RTV,GPS,"Sprzęt działa rewelacyjnie. Nawigacja jest bardzo dokładna, a wyświetlacz czytelny nawet w słońcu. Obsługa jest prosta, a urządzenie szybko reaguje na zmiany trasy. Polecam każdemu, kto szuka niezawodnego GPS-a. "
RTV,GPS,"To najlepszy GPS, jaki miałem. Mapa jest bardzo szczegółowa, a urządzenie działa szybko i precyzyjnie. Wyświetlacz jest jasny i czytelny nawet w pełnym słońcu. Obsługa jest intuicyjna, a bateria wytrzymuje wystarczająco długo na dłuższe trasy. Polecam!"
RTV,telewizor,"Telewizor działa, ale bardzo wolno. Jakość obrazu przeciętna."
Zegarki i biżuteria,Naszyjnik,"To naszyjnik o przyzwoitym designie, który dobrze prezentuje się na szyi. Jakość wykonania jest jednak średnia, a zapięcie bywa trudne w obsłudze. Ogólnie jest w porządku, ale nie polecam go do intensywnego użytkowania."
Zegarki i biżuteria,Zegarek,"Wygląda elegancko, ale kompas i termometr są mało precyzyjne."
telefony,Samsung B2710 SOLID ,"Telefon wygląda dobrze, ale jego działanie pozostawia wiele do życzenia. Oprogramowanie jest powolne, a bateria trzyma krótko. Pamięć jest bardzo ograniczona, co sprawia, że trudno go używać do czegokolwiek poza podstawowymi funkcjami."
RTV,GPS,"GPS ma kilka zalet, jak np. lekka konstrukcja, ale reszta to totalne rozczarowanie. Mapy są nieaktualne, sygnał często się gubi, a wyświetlacz jest kompletnie nieczytelny w słoneczny dzień."
telefony,Samsung B2710 SOLID ,"Telefon działa bez zarzutu, jest wytrzymały i funkcjonalny."
Odzież,Botki,"Buty są bardzo wygodne i świetnie wyglądają, polecam!"
Zegarki i biżuteria,Naszyjnik,"Kamienie błyszczą przepięknie, a zapięcie jest łatwe w użyciu."
Sport,Rakieta do Squasha,"Owijka jest kiepskiej jakości, a rakieta jest niewygodna w dłuższym użytkowaniu. "
RTV,GPS,"Urządzenie działa, ale bardzo wolno i często gubi sygnał."
Odzież,Torebka,"Jest OK, choć spodziewałam się czegoś bardziej solidnego."
Odzież,Botki,"Nie są idealne, ale wyglądają elegancko i dobrze prezentują się na nogach."
Zegarki i biżuteria,Bransoletka,Może być na specjalne okazje. 
Zegarki i biżuteria,Zegarek,"Zegarek wygląda elegancko, ale jakość wykonania pozostawia wiele do życzenia. "
Odzież,Botki,"To najlepsze botki, jakie miałam. Są bardzo wygodne i stylowe, pasują do każdej stylizacji. Materiał jest trwały, a podeszwa świetnie sprawdza się w zimowych warunkach. Zdecydowanie warte swojej ceny!"
Zegarki i biżuteria,Bransoletka,Jakość pozostawia wiele do życzenia. 
Odzież,Torebka,"Wygląda dobrze, ale wnętrze mogłoby być bardziej funkcjonalne."
Odzież,Koszulka,"Materiał koszulki jest dość delikatny, co sprawia, że nie nadaje się na intensywne użytkowanie. Po kilku praniach kolor zaczął blaknąć, a krój nieco się zmienił. Jest dobra na co dzień, ale nie dla osób wymagających trwałości."
Odzież,Torebka,"Torebka jest bardzo dobrze wykonana, z dbałością o szczegóły. Materiał wygląda na trwały, a kieszonki w środku są bardzo praktyczne. Jestem bardzo zadowolona z zakupu, bo świetnie spełnia swoje funkcje."
Sport,Rakieta do Squasha,"Rakieta wygląda dobrze, ale jakość materiałów jest poniżej średniej."
AGD,odkurzacz,"To najgorszy odkurzacz, jaki kiedykolwiek miałem. Zatyka się przy każdej próbie odkurzania dywanu. Kabel jest tak krótki, że ciągle muszę zmieniać gniazdko. Bardzo rozczarowujący produkt. "
RTV,telewizor,"Obraz jest dobry, ale dźwięk wymaga poprawy."
Odzież,Koszulka,"To najlepsza koszulka, jaką miałem, materiał jest trwały i wygodny."
Zegarki i biżuteria,Bransoletka,"Bransoletka wygląda pięknie i jest starannie wykonana, jestem zadowolona z zakupu."
AGD,lodówka,"Chłodzi dobrze, ale mogłaby być trochę cichsza. "
Odzież,Botki,"Buty bardzo wygodne, ładnie prezentują się na nogach, ogólnie zawsze wybieram lasockiego - dobra jakość za rozsądna cenę"
AGD,żelazko,"Żelazko sprawia wrażenie solidnego, ale codzienna eksploatacja pokazuje jego wady. Zbiornik na wodę jest bardzo mały, a kabel krótki, co utrudnia pracę. "
Odzież,Torebka,"Produkt nie spełnił moich oczekiwań. Ramiączka ciągle się odpinają, a materiał jest bardzo słabej jakości. Po kilku dniach użytkowania torebka wygląda, jakby miała się rozpaść. "
AGD,lodówka,"Urządzenie dobrze spełnia swoje zadanie. Chłodzi i mrozi poprawnie, ale w zamrażalniku często tworzy się lód, co wymaga regularnego rozmrażania. Wnętrze jest dość przestronne, choć brakuje kilku uchwytów na butelki. "
Odzież,Koszulka,"Ta koszulka to totalna porażka. Już po pierwszym praniu skurczyła się o dwa rozmiary i straciła swój kształt. Materiał jest bardzo cienki i szybko się mechaci, a szwy są nierówne. Zdecydowanie nie polecam tej marki."
Sport,Białko WPC 107,"Nie zachwyca, ale spełnia swoją podstawową funkcję."
Zegarki i biżuteria,Bransoletka,"Design jest piękny, ale zapięcie wymaga delikatnego obchodzenia się."
Zegarki i biżuteria,Bransoletka,"Bransoletka jest ładna, ale materiał jest bardzo delikatny i łatwo ulega uszkodzeniom."
telefony,Samsung B2710 SOLID ,"Nie jest to telefon dla każdego, ale do pracy w trudnych warunkach się nadaje."
Sport,Białko WPC 90,Słaby produkt. 
Zegarki i biżuteria,Zegarek,"Odradzam zakup tych zegarków, sama stałam się posiadaczką jednego z modelu. Zegarek został zakupiony w jednym ze znanych sklepów i po niecałej dobie od zakupu zegarek został reklamowany-bezskutecznie. Powłoka z bransolety Zapraszam na fora z opiniami. Gdybym trafiła wcześniej na opinie o tych zegarkach oraz serwisie który rozpatruje reklamacje, to nawet nie spojrzałabym w kierunku tej tandety! Pozdrawiam"
AGD,odkurzacz,"Odkurzacz ma kilka zalet, jak lekka konstrukcja, ale niestety brakuje mu mocy. Sprzątanie dywanu jest praktycznie niemożliwe. Dodatkowo kabel mógłby być dłuższy. "
Odzież,Torebka,"Torebka jest w porządku, choć ma kilka wad. Materiał jest trochę za cienki, co sprawia, że nie nadaje się do przenoszenia cięższych rzeczy. Wygląda elegancko, ale ramiączka są niezbyt wygodne."
RTV,telewizor,"Sprzęt ma swoje wady, ale jak za tę cenę, to jest w porządku."
Sport,Białko WPC 99,"Smak jest znośny, ale konsystencja po przygotowaniu pozostawia wiele do życzenia. Produkt nie jest najgorszy, ale też nie spełnia moich oczekiwań – zdecydowanie są lepsze opcje na rynku w podobnej cenie."
Sport,Rowerek do ćwiczeń,"Komputerek działa poprawnie, choć ma ograniczone funkcje."
Odzież,Torebka,Torebka jest solidnie wykonana i bardzo wygodna w użytkowaniu.
Odzież,Koszulka,"To jeden z lepszych produktów, jakie kupiłem, polecam każdemu."
telefony,Samsung B2710 SOLID ,"Nigdy więcej Samsunga, ciągle awarie i problemy z kompatybilnością."
Sport,Rowerek do ćwiczeń,"Najlepszy sprzęt, jaki miałem, idealny na domowe treningi."
Odzież,Torebka,"Dobra na wyjścia, ale do codziennego użytku nie polecam."
Sport,Rowerek do ćwiczeń,"Rowerek ma potencjał, ale niestety jakość wykonania jest rozczarowująca. Pasek oporowy szybko się zużył, a komputerek zaczął się wyłączać po kilku minutach. Konstrukcja jest niestabilna, co utrudnia korzystanie z niego na dłuższą metę."
Zegarki i biżuteria,Bransoletka,"Kamienie są dobrze osadzone, a całość wygląda bardzo estetycznie."
RTV,słuchawki,"Bardzo fajne słuchawki ze świetnym stosunkiem jakości do ceny. Retro wygląd przykuwa uwagę. Są bardzo wygodne. Trochę się czepiam, ale lubię gdy przewód słuchawkowy jest wymienny."
telefony,Sony Ericsson K750i ,"Najlepszy telefon w swojej klasie jaki mogłam używać; mnóstwo funkcji, zadowoli nawet najwybredniejszego użytkownika; dobrze wspominam ten telefon. "
Sport,Rakieta do Squasha,"Wyważenie rakiety pozostawia wiele do życzenia, precyzja jest słaba."
Sport,Rowerek do ćwiczeń,Dobry wybór dla osób szukających taniego i prostego sprzętu do ćwiczeń.
telefony,Samsung B2710 SOLID ,"Odnowiony. Działa, dzwonię, odbieram połączenia - dla mnie wystarczy. Jeśli jest tak solidny jak piszą o nim to jestem zadowolony. Jestem hydraulikiem i dla mnie ten telefon jest jedynym który można używać na budowie."
Sport,Białko WPC 125,"Produkt warty swojej ceny, smak i konsystencja są na wysokim poziomie."
Zegarki i biżuteria,Bransoletka,"Kamienie wyglądają pięknie, ale zapięcie jest zbyt słabe i łatwo się rozpina."
RTV,telewizor,"Nie spełnia żadnych oczekiwań, nawet podstawowe funkcje nie działają poprawnie."
AGD,żelazko,"Żelazko bardzo dobre, ale jakoś wykonania poszczególnych elementów nie wróży długiego 'żywota' tego produktu. Mam nadzieję, że się mylę. Cena adekwatna do jakości."
Sport,Białko WPC 127,"To białko to jeden z lepszych produktów, jakie próbowałem. Smak jest bardzo przyjemny, a konsystencja po rozpuszczeniu jest idealna – żadnych grudek. Dodatkowo jest lekkostrawne i świetnie sprawdza się jako uzupełnienie diety. Polecam!"
Odzież,Botki,"Świetne wykonanie i doskonały komfort noszenia, polecam każdemu."
telefony,Samsung B2710 SOLID ,"Telefon wygląda solidnie, ale działa fatalnie, ciągłe błędy i problemy. "
Zegarki i biżuteria,Zegarek,"Produkt działa poprawnie, ale bransoleta mogłaby być bardziej trwała."
Odzież,Botki,"Do pracy się nadają, ale na spacery raczej nie polecam."
Sport,Białko WPC 95,"Produkt średni, smak znośny, ale daleko mu do ideału."
Zegarki i biżuteria,Zegarek,"Produkt jest bardzo funkcjonalny i wygląda świetnie, polecam. "
Odzież,Torebka,"Torebka jest ładna, ale ma zbyt wiele wad, by polecić ją innym."
Sport,Białko WPC 82,"Po spożyciu czułem mdłości, nie nadaje się do stosowania na dłuższą metę."
Zegarki i biżuteria,Naszyjnik,"Produkt jest doskonały, wygląda elegancko i jest bardzo wygodny."
Odzież,Koszulka,"Produkt jest neutralny – wygląda dobrze, ale nie zachwyca jakością wykonania. Materiał jest miękki i przyjemny w dotyku, ale łatwo się mechaci. Ogólnie spełnia podstawowe oczekiwania, ale nie jest produktem premium."
AGD,odkurzacz,Jest OK. 
Sport,Rakieta do Squasha,"Lekka i wygodna, choć brakuje jej precyzji w uderzeniach."
Sport,Białko WPC 84,"Produkt wywołał u mnie zgagę i bóle brzucha, zdecydowanie odradzam."
Odzież,Torebka,"Wygląda świetnie i jest bardzo pojemna, a jednocześnie lekka."
telefony,Sony Ericsson K750i ,"To najgorszy telefon, jaki miałem. Dżojstik zacina się już po kilku miesiącach użytkowania, a wyświetlacz jest tak mały, że ciężko coś na nim zobaczyć. Menu jest chaotyczne, a dźwięk brzmi jak z taniego radia. Nie polecam!"
telefony,Samsung B2710 SOLID ,"To jeden z najlepszych telefonów do zadań specjalnych, jakie miałem. Jest wytrzymały, działa długo na baterii i nie zawiesza się. Idealny dla osób, które szukają telefonu do podstawowego użytku w trudnych warunkach."
AGD,żelazko,"Nie zachwyca, ale też nie rozczarowuje. Taki sprzęt na co dzień. "
AGD,żelazko,"Niestety, prasowanie grubych tkanin jest prawie niemożliwe. "
Zegarki i biżuteria,Zegarek,"Zegarek wymaga częstego korygowania, nie spełnia moich oczekiwań."
Sport,Białko WPC 138,"Jestem zachwycony tym białkiem. Smak jest intensywny, ale nie przesadzony, a produkt rozpuszcza się błyskawicznie. Idealne na każdy dzień – świetnie sprawdza się jako uzupełnienie diety sportowej."
Sport,Rakieta do Squasha,"Produkt zasługuje na najwyższą ocenę. Lekka rama, precyzyjne uderzenia i wygodny grip sprawiają, że gra nią to czysta przyjemność. Sprawdza się doskonale zarówno w rękach początkujących, jak i zaawansowanych graczy. Gorąco polecam! "
RTV,telewizor,Tv działa już ok dwóch lat bezawaryjnie. Modułowa budowa umożliwiająca w razie konieczności łatwą naprawę sprzętu. Szybkość oprogramowania mogłaby być lepsza. Dobrej jakości pilot choć nieco za duży. Jakość użytego plastiku bardzo dobra. Ostrość zadowalająca.
AGD,odkurzacz,"Jestem zachwycony tym odkurzaczem. Siła ssania jest idealna, a dodatkowe akcesoria, takie jak szczotka do sierści, są bardzo przydatne. Polecam każdemu, kto szuka solidnego sprzętu. "
AGD,żelazko,"Zakup tego żelazka to był ogromny błąd. Oprócz przeciekającego zbiornika na wodę, urządzenie bardzo długo się nagrzewa. Zdecydowanie odradzam każdemu. "
